stockid,assessid,stocklong,bioid,biovalue,
MONKGOMNGB,NEFSC-MONKGOMNGB-1964-2006-RICHARDS,Monkfish Gulf of Maine / Northern Georges Bank,Fmsy-1/T,0.2,p.3 goosefish
MONKGOMNGB,NEFSC-MONKGOMNGB-1964-2006-RICHARDS,Monkfish Gulf of Maine / Northern Georges Bank,MSY-MT,3500,
MONKGOMNGB,NEFSC-MONKGOMNGB-1964-2006-RICHARDS,Monkfish Gulf of Maine / Northern Georges Bank,SSBmsy-MT,49000,
OPOUTNWATLC,NEFSC-OPOUTNWATLC-1962-2008-WIGLEY,Ocean pout Northwestern Atlantic Coast,Bmsy-MT,4.94,
OPOUTNWATLC,NEFSC-OPOUTNWATLC-1962-2008-WIGLEY,Ocean pout Northwestern Atlantic Coast,Fmsy-1/T,0.76,
OPOUTNWATLC,NEFSC-OPOUTNWATLC-1962-2008-WIGLEY,Ocean pout Northwestern Atlantic Coast,MSY-MT,3754,
POLLNE,NEFSC-POLLNE-1970-2009-KURIYAMA,Pollock NAFO,SSBmsy-MT,91000,
POLLNE,NEFSC-POLLNE-1970-2009-KURIYAMA,Pollock NAFO,MSY-MT,16200,
POLLNE,NEFSC-POLLNE-1970-2009-KURIYAMA,Pollock NAFO,Fmsy,0.25,
RHAKEN,NEFSC-RHAKEN-1963-2009-KURIYAMA,Red hake Northern ,,,
RHAKES,NEFSC-RHAKES-1963-2009-KURIYAMA,Red hake Southern,,,
SCUPNWATLC,NEFSC-SCUPNWATLC-1960-2007-TERCEIRO,Scup Atlantic Coast,Bmsy-MT,92044,
SCUPNWATLC,NEFSC-SCUPNWATLC-1960-2007-TERCEIRO,Scup Atlantic Coast,Fmsy-1/T,0.177,
SCUPNWATLC,NEFSC-SCUPNWATLC-1960-2007-TERCEIRO,Scup Atlantic Coast,SSBmsy-MT,92044,
SFLOUNMATLC,NEFSC-SFLOUNMATLC-1940-2007-BAUM,Summer flounder Mid-Atlantic Coast,SSBmsy-MT,60074,
SFLOUNMATLC,NEFSC-SFLOUNMATLC-1940-2007-BAUM,Summer flounder Mid-Atlantic Coast,Fmsy-1/T,0.31,
SHAKEGOMNGB,NEFSC-SHAKEGOMNGB-1955-2005-COL,Silver hake Gulf of Maine / Northern Georges Bank,Bmsy-relative,6.63,
SHAKEGOMNGB,NEFSC-SHAKEGOMNGB-1955-2005-COL,Silver hake Gulf of Maine / Northern Georges Bank,Umsy-ratio,2.57,
SHAKESGBMATL,NEFSC-SHAKESGBMATL-1955-2005-COL,Silver hake Southern Georges Bank / Mid-Atlantic,Bmsy-relative,1.78,
SHAKESGBMATL,NEFSC-SHAKESGBMATL-1955-2005-COL,Silver hake Southern Georges Bank / Mid-Atlantic,Umsy-ratio,34.39,
STRIPEDBASSGOMCHATT,NEFSC-STRIPEDBASSGOMCHATT-1982-2006-SHEPHERD,Striped bass Gulf of Maine / Cape Hatteras,Fmsy-1/T,0.33,
STRIPEDBASSGOMCHATT,NEFSC-STRIPEDBASSGOMCHATT-1982-2006-SHEPHERD,Striped bass Gulf of Maine / Cape Hatteras,MSY-MT,17823,
STRIPEDBASSGOMCHATT,NEFSC-STRIPEDBASSGOMCHATT-1982-2006-SHEPHERD,Striped bass Gulf of Maine / Cape Hatteras,SSBmsy-MT,14000,
SURFMATLC,NEFSC-SURFMATLC-1965-2008-JACOBSON,Atlantic surfclam Mid-Atlantic Coast,Bmsy-MT,900000,
SURFMATLC,NEFSC-SURFMATLC-1965-2008-JACOBSON,Atlantic surfclam Mid-Atlantic Coast,Fmsy-1/T,0.15,
SURFMATLC,NEFSC-SURFMATLC-1965-2008-JACOBSON,Atlantic surfclam Mid-Atlantic Coast,Fmsy-1/yr,0.15,
WEAKFISHATLC,NEFSC-WEAKFISHATLC-1981-2008-STANTON,Weakfish Atlantic Coast,SSBmsy-MT,10179,
WEAKFISHATLC,NEFSC-WEAKFISHATLC-1981-2008-STANTON,Weakfish Atlantic Coast,Fmsy-1/yr,0.53,
,NEFSC-WFLOUGB-2010-KURIYAMA,Winter flounder Georges Bank,Fmsy-1/T,0.42,
,NEFSC-WFLOUGB-2010-KURIYAMA,Winter flounder Georges Bank,SSBmsy-MT,11800,
,NEFSC-WFLOUGB-2010-KURIYAMA,Winter flounder Georges Bank,MSY-MT,4400,
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE,White hake Georges Bank / Gulf of Maine,Fmsy-1/T,0.19,
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE,White hake Georges Bank / Gulf of Maine,MSY-MT,5800,
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2007-SOSEBEE,White hake Georges Bank / Gulf of Maine,SSBmsy-MT,56300,
WINDOWGOMGB,NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON,Windowpane flounder - Gulf of Maine / Georges Bank,Bmsy-relative,1.4,
WINDOWGOMGB,NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON,Windowpane flounder - Gulf of Maine / Georges Bank,MSY-MT,700,
WINDOWGOMGB,NEFSC-WINDOWGOMGB-1975-2007-HENDRICKSON,Windowpane flounder - Gulf of Maine / Georges Bank,Umsy-ratio,0.5,
WINDOWSNEMATL,NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON,Windowpane Southern New England-Mid Atlantic,Bmsy-relative,0.34,
WINDOWSNEMATL,NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON,Windowpane Southern New England-Mid Atlantic,MSY-MT,500,
WINDOWSNEMATL,NEFSC-WINDOWSNEMATL-1975-2007-HENDRICKSON,Windowpane Southern New England-Mid Atlantic,Umsy-ratio,1.47,
WINFLOUN5Z,NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON,Winter Flounder NAFO-5Z,MSY-MT,3500,
WINFLOUN5Z,NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON,Winter Flounder NAFO-5Z,SSBmsy-MT,16000,
WINFLOUNSNEMATL,NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO,Winter Flounder Southern New England-Mid Atlantic,MSY-MT,9742,
WINFLOUNSNEMATL,NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO,Winter Flounder Southern New England-Mid Atlantic,SSBmsy-MT,38761,
WINFLOUNSNEMATL,NEFSC-WINFLOUNSNEMATL-1940-2007-TERCEIRO,Winter Flounder Southern New England-Mid Atlantic,Fmsy-1/T,0.248,
WITFLOUN5Y,NEFSC-WITFLOUN5Y-1982-2008-WIGLEY,Witch Flounder NAFO-5Y,Fmsy-1/T,0.2,
WITFLOUN5Y,NEFSC-WITFLOUN5Y-1982-2008-WIGLEY,Witch Flounder NAFO-5Y,MSY-MT,2352,
WITFLOUN5Y,NEFSC-WITFLOUN5Y-1982-2008-WIGLEY,Witch Flounder NAFO-5Y,SSBmsy-MT,11447,
YELLCCODGOM,NEFSC-YELLCCODGOM-1935-2008-LEGAULT,Yellowtail flounder Cape Cod / Gulf of Maine,Fmsy-1/T,0.239,
YELLCCODGOM,NEFSC-YELLCCODGOM-1935-2008-LEGAULT,Yellowtail flounder Cape Cod / Gulf of Maine,MSY-MT,1720,
YELLCCODGOM,NEFSC-YELLCCODGOM-1935-2008-LEGAULT,Yellowtail flounder Cape Cod / Gulf of Maine,SSBmsy-MT,7790,
YELLGB,NEFSC-YELLGB-1935-2008-BAUM,Yellowtail flounder Georges Bank,Fmsy-1/T,0.254,
YELLGB,NEFSC-YELLGB-1935-2008-BAUM,Yellowtail flounder Georges Bank,MSY-MT,9400,
YELLGB,NEFSC-YELLGB-1935-2008-BAUM,Yellowtail flounder Georges Bank,SSBmsy-MT,43200,
YELLSNEMATL,NEFSC-YELLSNEMATL-1935-2008-BAUM,Yellowtail Flounder Southern New England-Mid Atlantic,Fmsy-1/T,0.254,
YELLSNEMATL,NEFSC-YELLSNEMATL-1935-2008-BAUM,Yellowtail Flounder Southern New England-Mid Atlantic,MSY-MT,6100,
YELLSNEMATL,NEFSC-YELLSNEMATL-1935-2008-BAUM,Yellowtail Flounder Southern New England-Mid Atlantic,SSBmsy-MT,27400,
STMARLINNPAC,NMFS-STMARLINNPAC-1952-2004-BRANCH,Striped marlin North Pacific,MSY-MT,5250,
STMARLINNPAC,NMFS-STMARLINNPAC-1952-2004-BRANCH,Striped marlin North Pacific,SSBmsy-MT,11235,
STMARLINNPAC,NMFS-STMARLINNPAC-1952-2004-BRANCH,Striped marlin North Pacific,Umsy-ratio,0.3,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,Fmsy-1/yr,0.21,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,MSY-MT,5844,
ARFLOUNDPCOAST,NWFSC-ARFLOUNDPCOAST-1916-2007-BRANCH,Arrowtooth flounder Pacific Coast,SSBmsy-MT,16593,
BGROCKPCOAST,NWFSC-BGROCKPCOAST-1950-2011-STACHURA,Blackgill rockfish  Pacific Coast,B0-MT,12927.2,
BGROCKPCOAST,NWFSC-BGROCKPCOAST-1950-2011-STACHURA,Blackgill rockfish  Pacific Coast,Bmsy-MT,5063,
BGROCKPCOAST,NWFSC-BGROCKPCOAST-1950-2011-STACHURA,Blackgill rockfish  Pacific Coast,Fmsy-1/yr,0.04,
BGROCKPCOAST,NWFSC-BGROCKPCOAST-1950-2011-STACHURA,Blackgill rockfish  Pacific Coast,MSY-MT,222,
BGROCKPCOAST,NWFSC-BGROCKPCOAST-1950-2011-STACHURA,Blackgill rockfish  Pacific Coast,SSBmsy-E6larvae,0.2498,
BLACKROCKNPCOAST,NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH,Black rockfish Northern Pacific Coast,Fmsy-1/yr,0.141,
BLACKROCKNPCOAST,NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH,Black rockfish Northern Pacific Coast,MSY-MT,700,
BLACKROCKNPCOAST,NWFSC-BLACKROCKNPCOAST-1914-2006-BRANCH,Black rockfish Northern Pacific Coast,SSBmsy-E06larvae,698.62,
BLACKROCKSPCOAST,NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH,Black rockfish Southern Pacific Coast,Fmsy-1/yr,0.08864,
BLACKROCKSPCOAST,NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH,Black rockfish Southern Pacific Coast,MSY-MT,1064.6,
BLACKROCKSPCOAST,NWFSC-BLACKROCKSPCOAST-1915-2007-BRANCH,Black rockfish Southern Pacific Coast,SSBmsy-E6larvae,1444.6,
BLUEROCKCAL,NWFSC-BLUEROCKCAL-1916-2007-BRANCH,Blue rockfish California,B0-MT,13223,
BLUEROCKCAL,NWFSC-BLUEROCKCAL-1916-2007-BRANCH,Blue rockfish California,Fmsy-1/yr,0.0403,
BLUEROCKCAL,NWFSC-BLUEROCKCAL-1916-2007-BRANCH,Blue rockfish California,MSY-MT,275,
BLUEROCKCAL,NWFSC-BLUEROCKCAL-1916-2007-BRANCH,Blue rockfish California,SSBmsy-E6larvae,831,
CABEZORECOAST,NWFSC-CABEZORECOAST-1973-2009-STACHURA,Cabezon Oregon Coast,Fmsy-1/yr,0.12,
CABEZORECOAST,NWFSC-CABEZORECOAST-1973-2009-STACHURA,Cabezon Oregon Coast,MSY-MT,48,
CABEZORECOAST,NWFSC-CABEZORECOAST-1973-2009-STACHURA,Cabezon Oregon Coast,SSBmsy-MT,164,
CABEZORECOAST,NWFSC-CABEZORECOAST-1973-2009-STACHURA,Cabezon Oregon Coast,Umsy-ratio,0.12,
CHILISPCOAST,NWFSC-CHILISPCOAST-1892-2007-BRANCH,Chilipepper Southern Pacific Coast,B0-MT,45057,
CHILISPCOAST,NWFSC-CHILISPCOAST-1892-2007-BRANCH,Chilipepper Southern Pacific Coast,Fmsy-1/yr,0.112,
CHILISPCOAST,NWFSC-CHILISPCOAST-1892-2007-BRANCH,Chilipepper Southern Pacific Coast,MSY-MT,2164,
CHILISPCOAST,NWFSC-CHILISPCOAST-1892-2007-BRANCH,Chilipepper Southern Pacific Coast,SSBmsy-MT,12126,
CROCKPCOAST,NWFSC-CROCKPCOAST-1916-2011-STACHURA,Canary rockfish Pacific Coast,B0-MT,70664,
CROCKPCOAST,NWFSC-CROCKPCOAST-1916-2011-STACHURA,Canary rockfish Pacific Coast,Fmsy-1/yr,0.0304,
CROCKPCOAST,NWFSC-CROCKPCOAST-1916-2011-STACHURA,Canary rockfish Pacific Coast,MSY-MT,803,
CROCKPCOAST,NWFSC-CROCKPCOAST-1916-2011-STACHURA,Canary rockfish Pacific Coast,SSBmsy-MT,10464,
DKROCKPCOAST,NWFSC-DKROCKPCOAST-1928-2011-STACHURA,Darkblotched rockfish Pacific Coast,B0-MT,32710,
DKROCKPCOAST,NWFSC-DKROCKPCOAST-1928-2011-STACHURA,Darkblotched rockfish Pacific Coast,Fmsy-1/yr,0.068,
DKROCKPCOAST,NWFSC-DKROCKPCOAST-1928-2011-STACHURA,Darkblotched rockfish Pacific Coast,MSY-MT,774,
DKROCKPCOAST,NWFSC-DKROCKPCOAST-1928-2011-STACHURA,Darkblotched rockfish Pacific Coast,SSBmsy-E08eggs,7068,
ESOLEPCOAST,NWFSC-ESOLEPCOAST-1876-2007-BRANCH,English sole Pacific Coast,Fmsy-1/yr,0.27,
ESOLEPCOAST,NWFSC-ESOLEPCOAST-1876-2007-BRANCH,English sole Pacific Coast,MSY-MT,4252,
