stockid,assessid,stocklong,tsid,tsyear,tsvalue
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TL-MT,2007,3989.8
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TL-MT,2008,5443.5
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TL-MT,2009,5952.9
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TL-MT,2010,5356.4
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TL-MT,2011,4597.9
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1982,14271.3
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1983,14696.5
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1984,11584.2
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1985,11608.2
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1986,10633.8
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1987,8410.2
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1988,8631.1
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1989,11337.6
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1990,17000.3
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1991,18622.9
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1992,11688
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1993,8846.5
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1994,8237.7
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1995,6842.2
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1996,7177
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1997,5519.2
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1998,4152.8
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,1999,2429.3
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,2000,4717.9
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,2001,5859.8
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,2002,4967.4
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,2003,4606.6
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,2004,4413.4
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,2005,3827.1
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,2006,3371.7
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,2007,4168.2
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,2008,5792.7
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,2009,6705.2
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,2010,5527.2
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,TC-MT,2011,4696.7
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1982,0.73
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1983,0.87
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1984,0.78
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1985,0.91
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1986,0.83
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1987,0.82
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1988,0.62
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1989,0.92
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1990,1.13
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1991,1.26
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1992,1.35
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1993,1.53
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1994,1.45
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1995,0.99
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1996,1.03
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1997,0.92
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1998,0.82
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,1999,0.48
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,2000,0.62
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,2001,0.72
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,2002,0.57
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,2003,0.67
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,2004,0.68
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,2005,0.92
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,2006,0.78
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,2007,0.75
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,2008,0.94
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,2009,0.98
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,2010,0.87
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,F,2011,0.86
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1982,22036
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1983,16343
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1984,13454
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1985,12380
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1986,11537
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1987,11211
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1988,11621
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1989,15516
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1990,19988
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1991,17253
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1992,10842
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1993,7575
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1994,6988
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1995,7975
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1996,8371
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1997,7091
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1998,6268
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,1999,6812
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,2000,9070
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,2001,11885
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,2002,11951
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,2003,10005
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,2004,8594
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,2005,7213
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,2006,6752
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,2007,8725
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,2008,10282
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,2009,11457
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,2010,11141
CODGOM,NEFSC-CODGOM-1982-2012-KURIYAMA,Atlantic cod Gulf of Maine,SSB-MT,2011,9903
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1978,26579
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1979,32645
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1980,40053
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1981,33849
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1982,39333
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1983,36756
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1984,32915
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1985,26828
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1986,17490
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1987,19035
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1988,26310
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1989,25056
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1990,28110
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1991,24219
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1992,16899
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1993,14590
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1994,9737
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1995,7026
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1996,7261
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1997,7548
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1998,7041
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,1999,8313
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,2000,7600
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,2001,10749
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,2002,9472
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,2003,6852
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,2004,3509
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,2005,2754
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,2006,2700
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,2007,3699
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,2008,3255
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,2009,2999
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,2010,2688
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TL-MT,2011,3387
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1978,26802
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1979,33048
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1980,40479
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1981,34624
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1982,40072
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1983,37248
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1984,32989
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1985,27090
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1986,17833
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1987,19235
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1988,26552
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1989,25684
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1990,28564
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1991,24577
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1992,17404
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1993,14874
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1994,9896
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1995,7110
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1996,7369
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1997,7648
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1998,7140
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,1999,8399
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,2000,7737
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,2001,11055
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,2002,9640
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,2003,7081
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,2004,3639
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,2005,3149
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,2006,2930
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,2007,4426
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,2008,3563
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,2009,3383
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,2010,2941
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,TC-MT,2011,3509
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1978,83600
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1979,93607
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1980,96864
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1981,90633
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1982,85290
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1983,75533
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1984,64591
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1985,55094
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1986,49640
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1987,59852
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1988,68021
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1989,64395
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1990,63060
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1991,47513
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1992,38311
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1993,30554
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1994,20581
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1995,19220
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1996,21311
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1997,20202
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1998,20042
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,1999,21636
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,2000,22256
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,2001,25624
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,2002,20459
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,2003,14960
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,2004,11860
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,2005,10121
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,2006,10441
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,2007,10970
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,2008,11520
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,2009,14725
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,2010,17168
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,SSB-MT,2011,22217
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1978,0.4
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1979,0.41
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1980,0.52
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1981,0.51
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1982,0.69
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1983,0.68
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1984,0.62
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1985,0.87
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1986,0.58
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1987,0.55
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1988,0.64
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1989,0.54
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1990,0.73
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1991,0.89
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1992,0.85
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1993,0.93
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1994,1.1
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1995,0.68
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1996,0.6
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1997,0.87
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1998,0.79
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,1999,0.76
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,2000,0.62
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,2001,0.83
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,2002,0.76
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,2003,0.8
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,2004,0.54
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,2005,0.65
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,2006,0.5
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,2007,0.65
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,2008,0.58
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,2009,0.42
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,2010,0.29
CODGB,NEFSC-CODGB-1978-2011-KURIYAMA,Atlantic cod Georges Bank,F,2011,0.23
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA,White hake Georges Bank / Gulf of Maine,SSB-MT,1963,16736
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA,White hake Georges Bank / Gulf of Maine,SSB-MT,1964,16157
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA,White hake Georges Bank / Gulf of Maine,SSB-MT,1965,15574
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA,White hake Georges Bank / Gulf of Maine,SSB-MT,1966,15298
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA,White hake Georges Bank / Gulf of Maine,SSB-MT,1967,15999
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA,White hake Georges Bank / Gulf of Maine,SSB-MT,1968,17541
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA,White hake Georges Bank / Gulf of Maine,SSB-MT,1969,19600
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA,White hake Georges Bank / Gulf of Maine,SSB-MT,1970,22119
WHAKEGBGOM,NEFSC-WHAKEGBGOM-1963-2011-KURIYAMA,White hake Georges Bank / Gulf of Maine,SSB-MT,1971,24444
