"","region","year","tot.nrow","overfished","prop.overfished","below.bmsy","prop.below.bmsy","high.overfishing","prop.high.overfishing","overfishing","prop.overfishing","arit.b.ratio","arit.f.ratio","gm.b.ratio","gm.f.ratio"
"1","ne",2000,12,9,0.75,11,0.916666666666667,9,0.75,0,0,0.415867481099115,2.90373363559488,0.326329849980683,1.88305157772117
"2","ne",2001,12,8,0.666666666666667,11,0.916666666666667,9,0.75,0,0,0.44724924432953,3.25610815965141,0.348786900902101,2.17794366578326
"3","ne",2002,12,9,0.75,11,0.916666666666667,9,0.75,0,0,0.46185175816482,2.54456880595186,0.34480478337588,1.68425030295213
"4","ne",2003,12,9,0.75,11,0.916666666666667,9,0.75,0,0,0.489290008340631,2.57095245705426,0.329376951303249,1.69443755968358
"5","ne",2004,13,9,0.692307692307692,11,0.846153846153846,9,0.692307692307692,1,0.0769230769230769,0.612783091944313,2.70835276397847,0.330404454269355,1.54118565686968
"6","ne",2005,13,9,0.692307692307692,11,0.846153846153846,7,0.538461538461538,2,0.153846153846154,0.601200683635577,2.3724190337972,0.311751466143262,1.40238868785272
"7","ne",2006,13,8,0.615384615384615,10,0.769230769230769,6,0.461538461538462,1,0.0769230769230769,0.686596544109205,1.84390902672306,0.356311437524951,1.13612383109466
"8","ne",2007,13,7,0.538461538461538,10,0.769230769230769,3,0.230769230769231,4,0.307692307692308,0.753285402100217,1.35521678173746,0.447194881533215,0.899383648183836
"9","ne",2008,13,7,0.538461538461538,10,0.769230769230769,3,0.230769230769231,3,0.230769230769231,0.754098711835437,1.35624220865399,0.457969198325043,0.886197108080753
"10","ne",2009,13,7,0.538461538461538,10,0.769230769230769,3,0.230769230769231,2,0.153846153846154,0.726052653261017,1.23245867199,0.464507346877687,0.768988842373153
"11","ne",2010,13,6,0.461538461538462,10,0.769230769230769,3,0.230769230769231,2,0.153846153846154,0.742014405221571,1.09486554061022,0.487838640563634,0.67239729518854
"12","ne",2011,13,6,0.461538461538462,10,0.769230769230769,2,0.153846153846154,3,0.230769230769231,0.754558239850198,1.0714896839102,0.49897911551195,0.669498026919924
"13","ne",2012,13,6,0.461538461538462,10,0.769230769230769,2,0.153846153846154,4,0.307692307692308,0.752685720937757,1.09657329595033,0.497705443514705,0.688586198801402
"14","ne",2013,13,6,0.461538461538462,9,0.692307692307692,2,0.153846153846154,3,0.230769230769231,0.774968695995805,1.07985088792358,0.510812296783523,0.676601281555654
"15","west",2000,34,15,0.441176470588235,17,0.5,3,0.0882352941176471,2,0.0588235294117647,1.3543114885877,0.599215665888131,0.844300817400519,0.390711818729881
"16","west",2001,34,14,0.411764705882353,17,0.5,3,0.0882352941176471,3,0.0882352941176471,1.40522406121704,0.541296280877993,0.893393810777108,0.301087537786216
"17","west",2002,34,11,0.323529411764706,15,0.441176470588235,2,0.0588235294117647,1,0.0294117647058824,1.46972760721067,0.47590856020281,0.949017249291044,0.251029471449275
"18","west",2003,34,9,0.264705882352941,15,0.441176470588235,2,0.0588235294117647,3,0.0882352941176471,1.53834462761572,0.4537903246249,1.00656384079741,0.213370307266333
"19","west",2004,34,8,0.235294117647059,15,0.441176470588235,2,0.0588235294117647,1,0.0294117647058824,1.59350434851089,0.389039399774327,1.064289444706,0.214515709125044
"20","west",2005,34,8,0.235294117647059,15,0.441176470588235,3,0.0882352941176471,0,0,1.64977928507504,0.382811513872815,1.13058385997116,0.29454483007255
"21","west",2006,34,8,0.235294117647059,11,0.323529411764706,2,0.0588235294117647,3,0.0882352941176471,1.69163550154253,0.399719579852591,1.18200898698464,0.295773624510834
"22","west",2007,34,6,0.176470588235294,11,0.323529411764706,2,0.0588235294117647,2,0.0588235294117647,1.7192043887185,0.401093103178714,1.22027109831735,0.241215853577595
"23","west",2008,36,6,0.166666666666667,11,0.305555555555556,3,0.0833333333333333,2,0.0555555555555556,1.73912432309724,0.416218817766861,1.26700794058846,0.242912298070137
"24","west",2009,34,6,0.176470588235294,11,0.323529411764706,2,0.0588235294117647,2,0.0588235294117647,1.75102228453152,0.399138757227453,1.2590916658243,0.24188049991765
"25","west",2010,34,7,0.205882352941176,11,0.323529411764706,2,0.0588235294117647,1,0.0294117647058824,1.76172948595981,0.379158433172694,1.27514376658845,0.271021203004798
"26","west",2011,34,6,0.176470588235294,11,0.323529411764706,2,0.0588235294117647,1,0.0294117647058824,1.77988970091575,0.335938234522308,1.30127274151819,0.198981515870685
"27","west",2012,34,6,0.176470588235294,11,0.323529411764706,2,0.0588235294117647,1,0.0294117647058824,1.83225876480596,0.333207119723058,1.34590382873265,0.199749306086237
"28","west",2013,35,6,0.171428571428571,12,0.342857142857143,2,0.0571428571428571,1,0.0285714285714286,1.83988164497145,0.318024274850284,1.34204919644706,0.182799395664965
